transaction_id,timestamp,user_id,device_id,card_id,amount,billing_country,ip_country,merchant_category,is_fraud
txn_00000000,2026-01-01 00:01:23+00:00,usr_003380,dev_003380_0,card_003380,2389.73,AE,AE,retail,0
txn_00000001,2026-01-01 00:02:23+00:00,usr_000213,dev_000213_0,card_000213,446.33,GB,GB,grocery,0
txn_00000002,2026-01-01 00:08:37+00:00,usr_000192,dev_000192_0,card_000192,637.92,AE,AE,retail,0
txn_00000003,2026-01-01 00:09:56+00:00,usr_001881,dev_001881_0,card_001881,2605.97,GB,IN,grocery,0
txn_00000004,2026-01-01 00:10:41+00:00,usr_003540,dev_003540_0,card_003540,2097.2,SG,SG,fuel,0
txn_00000005,2026-01-01 00:13:42+00:00,usr_003388,dev_003388_0,card_003388,807.36,CA,CA,fuel,0
txn_00000006,2026-01-01 00:13:45+00:00,usr_000733,dev_000733_0,card_000733,1070.61,SG,SG,restaurant,0
txn_00000007,2026-01-01 00:16:38+00:00,usr_002627,dev_002627_0,card_002627,1284.16,GB,GB,grocery,0
txn_00000008,2026-01-01 00:16:46+00:00,usr_000123,dev_000123_0,card_000123,4592.29,US,US,grocery,0
txn_00000009,2026-01-01 00:17:27+00:00,usr_001208,dev_001208_0,card_001208,2269.87,IN,IN,retail,0
txn_00000010,2026-01-01 00:26:36+00:00,usr_000160,dev_000160_0,card_000160,3077.77,IN,IN,retail,0
txn_00000011,2026-01-01 00:28:30+00:00,usr_001774,dev_001774_0,card_001774,766.4,CA,CA,retail,0
txn_00000012,2026-01-01 00:30:09+00:00,usr_001871,dev_001871_0,card_001871,2069.75,IN,IN,grocery,0
txn_00000013,2026-01-01 00:32:50+00:00,usr_001487,dev_001487_0,card_001487,1560.89,IN,IN,retail,0
txn_00000014,2026-01-01 00:36:39+00:00,usr_003697,dev_003697_0,card_003697,1735.76,IN,IN,electronics,0
txn_00000015,2026-01-01 00:48:22+00:00,usr_001429,dev_001429_0,card_001429,518.14,IN,IN,restaurant,0
txn_00000016,2026-01-01 00:52:01+00:00,usr_002203,dev_002203_0,card_002203,461.58,IN,IN,retail,0
txn_00000017,2026-01-01 00:52:23+00:00,usr_003319,dev_003319_0,card_003319,2937.05,IN,IN,fuel,0
txn_00000018,2026-01-01 01:01:48+00:00,usr_003724,dev_003724_0,card_003724,2857.1,AU,AU,retail,0
txn_00000019,2026-01-01 01:04:18+00:00,usr_002760,dev_002760_0,card_002760,6357.72,DE,DE,grocery,0
txn_00000020,2026-01-01 01:07:38+00:00,usr_000376,dev_000376_0,card_000376,718.45,US,US,grocery,0
txn_00000021,2026-01-01 01:10:32+00:00,usr_000576,dev_000576_0,card_000576,1437.77,IN,IN,restaurant,0
txn_00000022,2026-01-01 01:13:38+00:00,usr_003150,dev_003150_0,card_003150,251.14,GB,GB,fuel,0
txn_00000023,2026-01-01 01:14:34+00:00,usr_002627,dev_002627_0,card_002627,1088.19,GB,GB,utilities,0
txn_00000024,2026-01-01 01:16:43+00:00,usr_003458,dev_003458_0,card_003458,395.83,IN,IN,retail,0
txn_00000025,2026-01-01 01:19:16+00:00,usr_003876,dev_003876_0,card_003876,2361.03,IN,IN,grocery,0
txn_00000026,2026-01-01 01:23:23+00:00,usr_002596,dev_002596_0,card_002596,1538.41,SG,SG,electronics,1
txn_00000027,2026-01-01 01:36:24+00:00,usr_000421,dev_000421_0,card_000421,511.4,IN,IN,restaurant,0
txn_00000028,2026-01-01 01:48:44+00:00,usr_002619,dev_002619_0,card_002619,2352.25,IN,IN,utilities,0
txn_00000029,2026-01-01 02:02:54+00:00,usr_002627,dev_002627_0,card_002627,1390.52,GB,GB,travel,0
txn_00000030,2026-01-01 02:03:27+00:00,usr_001229,dev_001229_0,card_001229,1010.61,IN,IN,grocery,0
